title|description|proteins|fats|carbs|calories
Брынза из коровьего молока|52,0|17,9|20,1|0,0|260
Йогурт натуральный 1.5% жирности|88,0|5,0|1,5|3,5|51
Кефир нежирный|91,4|3,0|0,1|3,8|30
Кефир жирный|88,3|2,8|3,2|4,1|59
Молоко|88,5|2,8|3,2|4,7|58
Молоко ацидофильное|81,7|2,8|3,2|10,8|83
Молоко сухое цельное|4,0|25,6|25,0|39,4|475
Молоко сгущеное|74,1|7,0|7,9|9,5|135
Молоко сгущеное с сахаром|26,5|7,2|8,5|56,0|315
Простокваша|88,4|2,8|3,2|4,1|58
Ряженка|85,3|3,0|6,0|4,1|85
Сливки 10%|82,2|3,0|10,0|4,0|118
Сливки 20%|72,9|2,8|20,0|3,6|205
Сметана 10%|82,7|3,0|10,0|2,9|116
Сметана 20%|72,7|2,8|20,0|3,2|206
Сырки и масса творожные особые|41,0|7,1|23,0|27,5|340
Сыр российский|40,0|23,4|30,0|0,0|371
Сыр голландский|38,8|26,8|27,3|0,0|361
Сыр швейцарский|36,4|24,9|31,8|0,0|396
Сыр пошехонский|41,0|26,0|26,5|0,0|334
Сыр плавленный|55,0|24,0|13,5|0,0|226
Творог жирный|64,7|14,0|18,0|1,3|226
Творог полужирный|71,0|16,7|9,0|1,3|156
Творог нежирный|77,7|18,0|0,6|1,5|86
Хлеб ржаной|42,4|4,7|0,7|49,8|214
Хлеб пшеничный из муки I сорта|34,3|7,7|2,4|53,4|254
Сдобная выпечка|26,1|7,6|4,5|60,0|297
Баранки|17,0|10,4|1,3|68,7|312
Сушки|12,0|11,0|1,3|73,0|330
Сухари пшеничные|12,0|11,2|1,4|72,4|331
Сухари сливочные|8,0|8,5|10,6|71,3|397
Мука пшеничная высшего сорта|14,0|10,3|0,9|74,2|327
Мука пшеничная I сорта|14,0|10,6|1,3|73,2|329
Мука пшеничная II сорта|14,0|11,7|1,8|70,8|328
Мука ржаная|14,0|6,9|1,1|76,9|326
Гречневая ядрица|14,0|12,6|2,6|68,0|329
Гречневая продел|14,0|9,5|1,9|72,2|326
Манная|14,0|11,3|0,7|73,3|326
Овсяная|12,0|11,9|5,8|65,4|345
Перловая крупа|14,0|9,3|1,1|73,7|324
Пшено|14,0|12,0|2,9|69,3|334
Рисовая|14,0|7,0|0,6|73,7|323
Пшеничная “Полтавская”|14,0|12,7|1,1|70,6|325
Толокно|10,0|12,2|5,8|68,3|357
Ячневая|14,0|10,4|1,3|71,7|322
Геркулес|12,0|13,1|6,2|65,7|355
Кукурузная|14,0|8,3|1,2|75,0|325
Баклажаны|91,0|0,6|0,1|5,5|24
Брюква|87,5|1,2|0,1|8,1|37
Горошек зеленый|80,0|5,0|0,2|13,3|72
Кабачки|93,0|0,6|0,3|5,7|27
Капуста белокочанная|90,0|1,8|-|5,4|28
Капуста краснокочанная|90,0|1,8|-|6,1|31
Капуста цветная|90,9|2,5|-|4,9|29
Картофель|76,0|2,0|0,1|19,7|83
Лук зеленый (перо)|92,5|1,3|-|4,3|22
Лук порей|87,0|3,0|-|7,3|40
Лук репчатый|86,0|1,7|-|9,5|43
Морковь красная|88,5|1,3|0,1|7,0|33
Огурцы грунтовые|95,0|0,8|-|3,0|15
Огурцы парниковые|96,5|0,7|-|1,8|10
Перец зеленый сладкий|92,0|1,3|-|4,7|23
Перец красный сладкий|91,0|1,3|-|5,7|27
Петрушка (зелень)|85,0|3,7|-|8,1|45
Петрушка (корень)|85,0|1,5|-|11,0|47
Ревень (черешковый)|94,5|0,7|-|2,9|16
Редис|93,0|1,2|-|4,1|20
Редька|88,6|1,9|-|7,0|34
Репа|90,5|1,5|-|5,9|28
Салат|95,0|1,5|-|2,2|14
Свекла|86,5|1,7|-|10,8|48
Томаты (грунтовые)|93,5|0,6|-|4,2|19
Томаты (парниковые)|94,6|0,6|-|2,9|14
Зеленая фасоль (стручок)|90,0|4,0|-|4,3|32
Хрен|77,0|2,5|-|16,3|71
Черемша|89,0|2,4|-|6,5|34
Чеснок|70,0|6,5|-|21,2|106
Шпинат|91,2|2,9|-|2,3|21
Щавель|90,0|1,5|-|5,3|28
Абрикосы|86,0|0,9|-|10,5|46
Айва|87,5|0,6|-|8,9|38
Алыча|89,0|0,2|-|7,4|34
Ананас|86,0|0,4|-|11,8|48
Бананы|74,0|1,5|-|22,4|91
Вишня|85,5|0,8|-|11,3|49
Гранат|85,0|0,9|-|11,8|52
Груша|87,5|0,4|-|10,7|42
Инжир|83,0|0,7|-|13,9|56
Кизил|85,0|1,0|-|9,7|45
Персики|86,5|0,9|-|10,4|44
Рябина садовая|81,0|1,4|-|12,5|58
Рябина черноплодная|80,5|1,5|-|12,0|54
Слива садовая|87,0|0,8|-|9,9|43
Финики|20,0|2,5|-|72,1|281
Хурма|81,5|0,5|-|15,9|62
Черешня|85,0|1,1|-|12,3|52
Шелковица|82,7|0,7|-|12,7|53
Яблоки|86,5|0,4|-|11,3|46
Апельсин|87,5|0,9|-|8,4|38
Грейпфрут|89,0|0,9|-|7,3|35
Лимон|87,7|0,9|-|3,6|31
Мандарин|88,5|0,8|-|8,6|38
Брусника|87,0|0,7|-|8,6|40
Виноград|80,2|0,4|-|17,5|69
Голубика|88,2|1,0|-|7,7|37
Ежевика|88,0|2,0|-|5,3|33
Земляника|84,5|1,8|-|8,1|41
Клюква|89,5|0,5|-|4,8|28
Крыжовник|85,0|0,7|-|9,9|44
Малина|87,0|0,8|-|9,0|41
Морошка|83,3|0,8|-|6,8|31
Облепиха|75,0|0,9|-|5,5|30
Смородина белая|86,0|0,3|-|8,7|39
Смородина красная|85,4|0,6|-|8,0|38
Смородина черная|85,0|1,0|-|8,0|40
Черника|86,5|1,1|-|8,6|40
Шиповник свежий|66,0|1,6|-|24,0|101
Шиповник сушеный|14,0|4,0|-|60,0|253
Урюк|18,0|5,0|-|67,5|278
Курага|20,2|5,2|-|65,9|272
Изюм с косточкой|19,0|1,8|-|70,9|276
Изюм кишмиш|18,0|2,3|-|71,2|279
Вишня|18,0|1,5|-|73,0|292
Груша|24,0|2,3|-|62,1|246
Персики|18,0|3,0|-|68,5|275
Чернослив|25,0|2,3|-|65,6|264
Яблоки|20,0|3,2|-|68,0|273
Бобы|83,0|6,0|0,1|8,3|58
Горох лущеный|14,0|23,0|1,6|57,7|323
Горох цельный|14,0|23,0|1,2|53,3|303
Соя|12,0|34,9|17,3|26,5|395
Фасоль|14,0|22,3|1,7|54,5|309
Чечевица|14,0|24,8|1,1|53,7|310
Яйцо куриное|74,0|12,7|11,5|0,7|157
Яичный порошок|6,8|45|37,3|7,1|542
Сухой белок|12,1|73,3|1,8|7|336
Сухой желток|5,4|34,2|52,2|4,4|623
Яйцо перепелиное|73,3|11,9|13,1|0,6|168
Бычки|70,8|12,8|8,1|5,2|145
Горбуша|70,5|21|7|0|147
Камбала|79,5|16,1|2,6|0<!-- 7td-->|88
Карась|78,9|17,7|1,8|0|87
Карп|79.1|16|3.6|0|96
Кета|71.3|22|0|138
Корюшка|79.8|15.5|3.2|0|91
Ледяная|81.8|15.5|1.4|0|75
Лещ|77.7|17.1|4.1|0|105
Семга|62.9|20.8|15.1|0|219
Макрурус|85|13.2|0.8|0|60
Минога|75|14.7|11.9|0|166
Минтай|80.1|15.9|0.7|0|70
Мойва|75|13.4|11.5|0|157
Навага|81.1|16.1|1|0|73
Налим|79.3|18.8|0.6|0|81
Нототения мраморная|73.4|14.8|10.7|0|156
Окунь морской|75.4|17.6|5.2|0|117
Окунь речной|79.2|18.5|0.9|0|82
Осетр|71.4|16.4|10.9|0|164
Палтус|76.9|18.9|3|0|103
Путассу|81.3|16.1|0.9|0|72
Рыба-сабля|75.2|20.3|3.2|0|110
Рыбец каспийский|77|19.2|2.4|0|98
Сазан|75.3|18.4|5.3|0|121
Сайра крупная|59.8|18.6|20.8|0|262
Сайра мелкая|71.3|20.4|0.8|0|143
Салака|75.4|17.3|5.6|0|121
Сельдь|62.7|17.7|19.5|0|242
Сиг|72.3|19|7.5|0|144
Скумбрия|71.8|18|9|0|153
Сом|75|16.8|8.5|0|144
Ставрида|74.9|18.5|5|0|119
Стерлядь|74.9|17|6.1|0|320
Судак|78.9|19|0.8|0|83
Треска|80.7|17.5|0.6|0|75
Тунец|74|22,7|0,7|0|96
Угольная рыба|71.5|13.2|11.6|0|158
Угорь морской|77.5|19.1|1.9|0|94
Угорь|53.5|14.5|30.5|0|333
Хек|79.9|16.6|2.2|0|86
Щука|70.4|18.8|0.7|0|82
Язь|80.1|18.2|0.3|0|117
Креветка дальневосточная|64,8|28,7|1,2|0|134
Печень трески|26,4|4,2|65,7|0|613
Кальмар|80,3|18|0,3|0|75
Краб|81,5|16|0,5|0|69
Креветка|77,5|18|0,8|0|83
Морская капуста|88|0,9|0,2|3,0|5
Паста “Океан”|72,2|18,9|6,8|0|137
Трепанг|89,4|7,3|0,6|0|35
Кеты зернистая|46,9|31,6|13,8|0|251
Лещевая пробойная|58|24,7|4,8|0|142
Минтаевая пробойная|63,2|28,4|1,9|0|131
Осетровая зернистая|58|28,9|9,7|0|203
Осетровая пробойная|39,5|36|10,2|0|123
Жир бараний или говяжий топленый|0,3|0|99,7|0|897
Шпик свиной (без шкурки)|5,7|1,4|92,8|0|816
Маргарин молочный|15,9|0,3|82,3|1|746
Маргарин бутербродный|15,8|0,5|82|1,2|744
Майонез|25|3,1|67|2,6|627
Масло растительное|0,1|0|99,9|0|899
Масло сливочное|15,8|0,6|82,5|0,9|748
Масло топленое|1|0,3|98|0,6|887
Баранина|67,6|16,3|15,3|0,0|203
Говядина|67,7|18,9|12,4|0,0|187
Конина|72,5|20,2|7,0|0,0|143
Кролик|65,3|20,7|12,9|0,0|199
Свинина нежирная|54,8|16,4|27,8|0,0|316
Свинина жирная|38,7|11,4|49,3|0,0|489
Телятина|78,0|19,7|1,2|0,0|90
Бараньи Почки|79,7|13,6|2,5|0,0|77
Баранья Печень|71,2|18,7|2,9|0,0|101
Баранье Сердце|78,5|13,5|2,5|0,0|82
Говяжьи Мозги|78,9|9,5|9,5|0,0|124
Говяжья Печень|72,9|17,4|3,1|0,0|98
Говяжьи Почки|82,7|12,5|1,8|0,0|66
Говяжье Вымя|72,6|12,3|13,7|0,0|173
Говяжье Сердце|79,0|15,0|3,0|0,0|87
Говяжий Язык|71,2|13,6|12,1|0,0|163
Почки свинные|80,1|13,0|3,1|0,0|80
Печень свинная|71,4|18,8|3,6|0,0|108
Сердце свинное|78,0|15,1|3,2|0,0|89
Язык свинной|66,1|14,2|16,8|0,0|208
Гуси|49,7|16,1|33,3|0,0|364
Индейка|64,5|21,6|12,0|0,8|197
Куры|68,9|20,8|8,8|0,6|165
Цыплята|71,3|18,7|7,8|0,4|156
Утки|51,5|16,5|61,2|0,0|346
Продукт|Вода, г|Белки, г|Жиры, г|Углеводы, г|ккал
Вареная колбаса Диабетическая|62,4|12,1|22,8|0|254
Вареная колбаса Диетическая|71,6|12,1|13,5|0|170
Вареная колбаса Докторская|60,8|13,7|22,8|0|260
Вареная колбаса Любительская|57,0|12,2|28,0|0|301
Вареная колбаса Молочная|62,8|11,7|22,8|0|252
Вареная колбаса Отдельная|64,8|10,1|20,1|1,8|228
Вареная колбаса Телячья|55,0|12,5|29,6|0|316
Сардельки Свиные|53,7|10,1|31,6|1,9|332
Сосиски Молочные|60,0|12,3|25,3|0|277
Сосиски Русские|66,2|12,0|19,1|0|220
Сосиски Свиные|54,8|11,8|30,8|0|324
Варено-копченая Любительская|39,1|17,3|39,0|0|420
Варено-копченая Сервелат|39,6|28,2|27,5|0|360
Полукопченая Краковская|34,6|16,2|44,6|0|466
Полукопченая Минская|52,0|23,0|17,4|2,7|259
Полукопченая Полтавская|39,8|16,4|39,0|0|417
Полукопченая Украинская|44,4|16,5|34,4|0|376
Сырокопченая Любительская|25,2|20,9|47,8|0|514
Сырокопченая Московская|27,6|24,8|41,5|0|473
Говядина тушеная|63,0|16,8|18,3|0|232
Завтрак туриста (говядина)|66,9|20,5|10,4|0|176
Завтрак туриста (свинина)|65,6|16,9|15,4|0|206
Колбасный фарш|63,2|15,2|15,7|2,8|213
Свинина тушеная|51,1|14,9|32,2|0|349
Грудинка сырокопченая|21,0|7,6|66,8|0|632
Корейка сырокопченая|37,3|10,5|47,2|0|467
Ветчина|53,5|22,6|20,9|0|279
Белые свежие|89,9|3,2|0,7|1,6|25
Белые сушеные|13,0|27,6|6,8|10,0|209
Подберезовики свежие|91,6|2,3|0,9|3,7|31
Подосиновики свежие|91,1|3,3|0,5|3,4|31
Сыроежи свежие|83,0|1,7|0,3|1,4|17
Фундук|4,8|16,1|66,9|9,9|704
Миндаль|4|18,6|57,7|13,6|645
Грецкий орех|5|13,8|61,3|10,2|648
Арахис|10|26,3|45,2|9,7|548
Семя подсолнечника|8|20,7|52,9|5|578
Мед|17,2|0,8|0|80,3|308
Драже фруктовое|7|3,7|10,2|73,1|384
Зефир|20|0,8|0|78,3|299
Ирис|6,5|3,3|7,5|81,8|387
Мармелад|21|0|0,1|77,7|296
Карамель (в среднем)|4,4|0|0,1|77,7|296
Конфеты, глазированные шоколадом|7,9|2,9|10,7|76,6|396
Пастила|18|0,5|0|80,4|305
Сахар|0,2|0,3|0|99,5|374
Халва тахинная|3,9|12,7|29,9|50,6|510
Халва подсолнечная|2,9|11,6|29,7|54|516
Шоколад темный|0,8|5,4|35,3|52,6|540
Шоколад молочный|0,9|6,9|35,7|52,4|547
Вафли с фруктовыми начинками|12|3,2|2,8|80,1|342
Вафли с жиросодержащими начинками|1|3,4|30,2|64,7|530
Пирожное слоеное с кремом|9|5,4|38,6|46,4|544
Пирожное слоеное с яблоком|13|5,7|25,6|52,7|454
Пирожное бисквитное с фруктовой начинкой||4,7|9,3|84,4|344
Пряники|14,5|4,8|2,8|77,7|336
Торт бисквитный с фруктовой начинкой|25|4,7|20|49,8|386
Торт миндальный|9,3|6,6|35,8|46,8|524
